mouse_strain,C3H
gene_accession_id,MGI:95457
pvalue,0.9254815
gene_symbol,Mecom
parameter_name,Macrophages - % of CD45+
analysis_id,20578570v97lazj
mouse_life_stage,Early adult
parameter_id,MGP_IMM_121_001
