analysis_id,70k44lu0s2lky28
gene_accession_id,MGI:109356
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,Snap23
parameter_id,MGP_IMM_006_001
pvalue,0.5372594
