parameter_name,Head morphology
gene_accession_id,MGI:894679
mouse_strain,C57BL
pvalue,0.7322208
mouse_life_stage,Early adult
analysis_id,84k2143s9l465w8
parameter_id,MGP_CSD_064_001
gene_symbol,Bach2
