analysis_id,9614aad39pg1hqy
mouse_life_stage,Early adult
parameter_name,QT
gene_accession_id,MGI:99501
mouse_strain,C57BL
gene_symbol,Fgb
parameter_id,IMPC_ECG_028_001
pvalue,0.5795248
