analysis_id,6r6847me80gs0us
gene_symbol,Hpca
mouse_life_stage,Early adult
pvalue,0.1142355
mouse_strain,C57BL
parameter_id,UCDLA_EYE_017_001
parameter_name,Lens Opacity
gene_accession_id,MGI:1336200
