parameter_name,DN CD44+CD62L+ NKT cells
analysis_id,b5g308h9718b69g
mouse_life_stage,Early adult
gene_symbol,Arnt
parameter_id,IMPC_IMM_047_001
gene_accession_id,MGI:88071
mouse_strain,C57BL
pvalue,0.9770908
