parameter_name,Fractional Shortening
mouse_strain,C57BL
parameter_id,IMPC_ECH_005_001
pvalue,0.3315491
analysis_id,xj92412608du3h8
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
mouse_life_stage,E12.5
