parameter_name,30kHz-evoked ABR Threshold
gene_symbol,Dnajc8
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.139705
gene_accession_id,MGI:1915848
parameter_id,IMPC_ABR_012_001
analysis_id,2ks69196tx93b7n
