parameter_name,CV
gene_accession_id,MGI:1917604
mouse_life_stage,Late adult
analysis_id,u17tycb42yysj6o
mouse_strain,C57BL
pvalue,0.3651227
parameter_id,IMPC_ECG_003_001
gene_symbol,Secisbp2l
