gene_symbol,Nucks1
mouse_strain,C57BL
analysis_id,3s117ox5pw8mqz1
mouse_life_stage,Late adult
gene_accession_id,MGI:1934811
parameter_id,IMPC_XRY_001_001
pvalue,0.9392592
parameter_name,Skull shape
