analysis_id,721ahw620n2nc9w
pvalue,0.5805571
mouse_life_stage,Early adult
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
mouse_strain,129SV
gene_accession_id,MGI:2684980
parameter_id,IMPC_FEA_106_001
gene_symbol,Mms22l
