mouse_strain,C57BL
analysis_id,2r41vp5r5n1zf95
parameter_name,CD8 CD44-CD62L+ T cells
gene_symbol,Fgb
pvalue,0.8269051
mouse_life_stage,E12.5
parameter_id,IMPC_IMM_034_001
gene_accession_id,MGI:99501
