parameter_id,JAXLA_DXA_009_001
gene_symbol,Gpbp1l1
mouse_life_stage,Early adult
pvalue,0.6113166
mouse_strain,C57BL
gene_accession_id,MGI:1924360
parameter_name,Fat/Body weight
analysis_id,x00437r577ph088
