mouse_strain,B6J
mouse_life_stage,Early adult
pvalue,0.4008826
parameter_id,JAXLA_GRS_011_001
gene_accession_id,MGI:1346344
analysis_id,htoue0m78zote77
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_symbol,Nr0b2
