analysis_id,7e3lgjql33oeasv
gene_accession_id,MGI:1915087
mouse_strain,C57BL
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
gene_symbol,Tiprl
pvalue,0.2257428
mouse_life_stage,E12.5
parameter_id,MGP_IMM_017_001
