parameter_id,JAX_SLW_013_001
analysis_id,gf14c19j39hp6ux
gene_symbol,Casq1
parameter_name,Breath rate during sleep mean
mouse_life_stage,Early adult
pvalue,0.8247893
gene_accession_id,MGI:1309468
mouse_strain,C57BL
