analysis_id,185q4l547juj3w4
gene_symbol,Eprs1
pvalue,0.1122671
parameter_id,MGP_MLN_033_001
gene_accession_id,MGI:97838
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_name,Resting NK cells - % of NK cells
