gene_symbol,Zfp69
parameter_name,Distance travelled - total
pvalue,0.7684999
mouse_strain,C54BL
parameter_id,HRWLLA_OFD_020_001
analysis_id,t76106018gh694l
gene_accession_id,MGI:107794
mouse_life_stage,Early adult
