analysis_id,q0dfis6f846f150
gene_accession_id,MGI:2685266
mouse_life_stage,Early adult
pvalue,0.4609935
parameter_id,IMPC_XRY_007_001
parameter_name,Clavicle
gene_symbol,Pglyrp3
mouse_strain,C57BL
