analysis_id,woxzac5sb0ji7tf
parameter_id,MGP_BMI_019_001
mouse_life_stage,Early adult
parameter_name,T cells - % of CD45+
gene_symbol,Zcchc2
gene_accession_id,MGI:2444114
mouse_strain,C57BL
pvalue,0.4856044
