parameter_name,Facial Morphology
gene_symbol,Ola1
mouse_life_stage,E18.5
mouse_strain,C57BL
pvalue,0.5280891
analysis_id,vk9uf003s35uqh6
gene_accession_id,MGI:1914309
parameter_id,IMPC_GEP_017_001
