parameter_name,Total holepokes
gene_accession_id,MGI:1913396
gene_symbol,Maco1
mouse_life_stage,Early adult
parameter_id,JAXLA_HBD_001_001
mouse_strain,C57BL
pvalue,0.7509026
analysis_id,58xc577v235z00x
