analysis_id,jm1j5ys1llwf44r
mouse_life_stage,Early adult
parameter_id,JAXLA_EYE_092_001
mouse_strain,C57BL
parameter_name,Retina (combined)
gene_symbol,Trim46
gene_accession_id,MGI:2673000
pvalue,0.1446109
