analysis_id,8x2r8kh4h8r3z05
parameter_name,Effector NK cells - % of NK cells
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4308108
gene_symbol,Ints7
gene_accession_id,MGI:1924315
parameter_id,MGP_MLN_032_001
