analysis_id,5sjrjg4c37mhd4m
gene_symbol,Ncaph
mouse_life_stage,Early adult
gene_accession_id,MGI:2444777
mouse_strain,C57BL
parameter_id,IMPC_CSD_029_001
pvalue,0.7943968
parameter_name,Activity (body position)
