gene_symbol,Trp53i11
pvalue,0.3747628
gene_accession_id,MGI:2670995
mouse_life_stage,Early adult
analysis_id,6lk50mz76393297
parameter_id,M-G-P_016_001_006
parameter_name,Mean-corpuscular-haemoglobin
mouse_strain,C57BL
