parameter_name,Others
mouse_strain,C57BL
analysis_id,3pr34068kxu5lvp
pvalue,0.7869665
parameter_id,IMPC_IMM_006_001
gene_accession_id,MGI:1913506
gene_symbol,Ssr2
mouse_life_stage,Early adult
