parameter_name,Stroke Volume
mouse_strain,C57BL
pvalue,0.4991961
gene_symbol,Lpgat1
parameter_id,IMPC_ECH_003_001
mouse_life_stage,Late adult
gene_accession_id,MGI:2446186
analysis_id,t88uegwhjslj9tj
