gene_symbol,Zyg11b
analysis_id,mp1mvn6kydr1680
gene_accession_id,MGI:2685277
mouse_strain,C57BL
pvalue,0.6712416
mouse_life_stage,E18.5
parameter_name,Spleen weight
parameter_id,UCD_OWT_003_001
