gene_symbol,Kcng1
parameter_name,Retinal Blood Vessels
gene_accession_id,MGI:3616086
mouse_life_stage,Early adult
analysis_id,05ul5x3im5776t8
parameter_id,IMPC_EYE_024_001
mouse_strain,C57BL
pvalue,2.670042e-06
