parameter_name,Percentage center time
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_022_001
gene_accession_id,MGI:1332236
gene_symbol,Cds2
analysis_id,y2gx1jf58y30i2w
pvalue,0.1831122
