gene_symbol,Golm2
analysis_id,3176c2198c487ug
parameter_name,B1B Cells
gene_accession_id,MGI:2443129
parameter_id,IMPC_IMM_064_001
pvalue,0.5268215
mouse_life_stage,Early adult
mouse_strain,C57BL
