analysis_id,2521jcxg63t4p73
pvalue,0.796539
mouse_strain,C56BL
mouse_life_stage,Early adult
parameter_id,UCD_OWT_003_001
parameter_name,Spleen weight
gene_symbol,Cldn19
gene_accession_id,MGI:3033992
