parameter_name,Lean mass
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_003_001
pvalue,0.4171067
mouse_strain,C57BL
gene_symbol,Kdm5b
gene_accession_id,MGI:1922855
analysis_id,7f4s74kg5tq6164
