parameter_name,Basophil differential count
pvalue,0.1533923
gene_accession_id,MGI:1338022
parameter_id,IMPC_HEM_038_001
mouse_strain,C57BL
gene_symbol,Opn3
analysis_id,4uwdr0w3xt8861e
mouse_life_stage,Early adult
