analysis_id,5tz728172f96d1h
parameter_id,MGP_IMM_006_001
pvalue,0.3607645
gene_accession_id,MGI:1917810
mouse_strain,C57BL
gene_symbol,Wars2
mouse_life_stage,E12.5
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
