gene_symbol,Kdm4c
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,82avz3r407747n1
gene_accession_id,MGI:1924054
parameter_id,MGP_PBI_009_001
pvalue,0.4323028
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
