gene_symbol,Kdm4c
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1924054
analysis_id,aa941505x984y53
pvalue,0.2317992
parameter_id,IMPC_XRY_024_001
parameter_name,Femur
