analysis_id,7o75gm0n851849w
mouse_strain,C57BL
parameter_name,Haemoglobin
mouse_life_stage,E12.5
pvalue,0.2590821
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
parameter_id,ESLIM_016_001_003
