gene_symbol,Atf3
mouse_strain,C57BL
parameter_id,M-G-P_026_001_004
gene_accession_id,MGI:109384
pvalue,0.6748673
mouse_life_stage,Early adult
parameter_name,Coat colouration
analysis_id,xxy02t52w8b8g5j
