gene_symbol,Golm2
parameter_id,IMPC_CBC_024_001
pvalue,0.8338053
analysis_id,9csab0d0b7w995r
parameter_name,UIBC (unsaturated iron binding capacity)
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2443129
