parameter_id,HMGULA_CBC_009_001
gene_accession_id,MGI:1914944
pvalue,0.8221993
parameter_name,Calcium
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Ift74
analysis_id,80156dxan779p6j
