mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1934811
analysis_id,d8a4r7t47618dz9
parameter_name,Eosinophils
parameter_id,IMPC_IMM_052_001
gene_symbol,Nucks1
pvalue,0.7829236
mouse_strain,C52BL
