analysis_id,5xdw8iorut70aze
mouse_life_stage,Early adult
gene_accession_id,MGI:2135738
pvalue,0.1539452
parameter_name,Placenta Morphology
parameter_id,IMPC_GPO_002_001
gene_symbol,Abo
mouse_strain,C57BL
