gene_symbol,Golm2
parameter_id,JAX_ROT_002_001
mouse_life_stage,Early adult
pvalue,0.06527872
parameter_name,Average duration
gene_accession_id,MGI:2443129
mouse_strain,C57BL
analysis_id,39mna50by3q4h4w
