gene_symbol,Cmpk1
parameter_id,GMC_906_001_005
gene_accession_id,MGI:1913838
pvalue,0.1202108
analysis_id,3h692izk2j9pu91
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Potassium
