parameter_name,Femur
mouse_strain,C57BL
parameter_id,IMPC_XRY_024_001
analysis_id,169fb483qk7xsr7
pvalue,0.2274822
mouse_life_stage,Early adult
gene_accession_id,MGI:1339969
gene_symbol,Gja10
