analysis_id,8690439c3f6jj06
gene_symbol,Slc17a9
parameter_name,DN CD44+CD62L- NKT cells
gene_accession_id,MGI:1919107
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6387713
parameter_id,IMPC_IMM_046_001
