gene_symbol,Inpp1
parameter_name,lens opacity
parameter_id,M-G-P_014_001_010
gene_accession_id,MGI:104848
analysis_id,3f554hremkby4p8
pvalue,0.2448577
mouse_strain,129SV
mouse_life_stage,Early adult
