analysis_id,0px630w30i1kgyv
parameter_id,MGP_PBI_001_001
mouse_strain,C57BL
gene_accession_id,MGI:1920344
parameter_name,Total T cell percentage
mouse_life_stage,Early adult
gene_symbol,Sgip1
pvalue,0.3621383
