analysis_id,6k37hn48548dgh4
gene_accession_id,MGI:2673000
pvalue,0.7541465
mouse_life_stage,Early adult
parameter_name,CD8 CD44-CD62L+ T cells
gene_symbol,Trim46
parameter_id,IMPC_IMM_034_001
mouse_strain,C57BL
