gene_symbol,Nucks1
analysis_id,6ia3uzi53l97382
pvalue,0.4836512
parameter_name,Number of rears - total
mouse_strain,C57BL
gene_accession_id,MGI:1934811
parameter_id,JAX_OFD_021_001
mouse_life_stage,Late adult
