parameter_name,Center distance travelled
analysis_id,182t447p39r1896
gene_accession_id,MGI:99915
gene_symbol,Lamb3
pvalue,0.6632763
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_OFD_014_001
