parameter_name,RR
analysis_id,924y207u54f6rnd
gene_symbol,Car13
pvalue,0.1664903
mouse_life_stage,Early adult
gene_accession_id,MGI:1931322
mouse_strain,C57BL
parameter_id,IMPC_ECG_004_001
