gene_symbol,Cmpk1
analysis_id,7j1k7a1ar83o77o
mouse_strain,C57BL
pvalue,0.8539641
mouse_life_stage,Early adult
parameter_id,MGP_MLN_010_001
parameter_name,Resting Treg cells - % of Treg
Gene_accession_id,MGI:1913838
