parameter_name,Retinal Blood Vessels
gene_symbol,Slc39a10
mouse_strain,C57BL
parameter_id,IMPC_EYE_024_001
gene_accession_id,MGI:1914515
analysis_id,u1pw15ez6635559
pvalue,0.07851971
mouse_life_stage,Early adult
