analysis_id,cjijj1kb302vt50
gene_accession_id,MGI:3033992
parameter_id,MGP_IMM_100_001
gene_symbol,Cldn19
mouse_strain,C57BL
parameter_name,Resting NK cells - % of CD45+
mouse_life_stage,Early adult
pvalue,0.9191772
