gene_symbol,Rgs20
parameter_name,Blood Vessel Morphology
parameter_id,IMPC_GEO_011_001
mouse_strain,C57BL
analysis_id,c8rc9sr2ahaa012
mouse_life_stage,Early adult
gene_accession_id,MGI:1929866
pvalue,0.2696038
