gene_symbol,Galk2
gene_accession_id,MGI:1917226
parameter_id,IMPC_XRY_022_001
pvalue,0.7738763
parameter_name,Radius
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,6b81b5nkf6252dd
