parameter_name,White blood cell count
analysis_id,b11u8i9g7y6gd59
pvalue,0.9127339
parameter_id,HMGULA_HEM_001_001
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
mouse_strain,129SV
gene_symbol,Inpp1
