parameter_name,Vibrissae - presence
mouse_life_stage,E12.5
gene_symbol,Mapkap1
pvalue,0.7521436
analysis_id,27yp6714k7ib159
gene_accession_id,MGI:2444554
parameter_id,JAXLA_CSD_023_001
mouse_strain,C57BL
