analysis_id,514j72lo1pj44u4
parameter_name,Heart weight
mouse_strain,C57BL
gene_symbol,Kdm4c
mouse_life_stage,Early adult
parameter_id,HMGULA_HWT_008_001
pvalue,0.5744336
gene_accession_id,MGI:1924054
