parameter_name,Lower teeth appearance
mouse_life_stage,Early adult
gene_accession_id,MGI:1920638
analysis_id,700e6o269en8x7m
mouse_strain,C57BL
parameter_id,IMPC_CSD_070_001
gene_symbol,BPIFA3
pvalue,0.9767498
