parameter_name,Response amplitude - S
gene_symbol,AU040320
pvalue,0.4931368
analysis_id,31486islra8qim1
mouse_life_stage,Late adult
gene_accession_id,MGI:2140475
mouse_strain,C57BL
parameter_id,IMPC_ACS_006_001
